,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mean_pitch
0,272350,None_272350,files/272350_5144779-hq.ogg,0,34048,0.0007639901530473752,-955.8314,102.00334,-130.82509,-26.917591,-44.639046,-26.897545,-5.8303223,-68.75421,-31.347664,3.8519287,0.73857117,17.74049,2.5571938,68.0
1,272350,None_272350,files/272350_5144779-hq.ogg,34048,45184,9.975857074618683e-06,-1226.5066,46.21596,25.530788,1.0880127,-17.768482,-25.712517,-23.186653,-14.730446,-5.476982,1.656704,6.4303055,9.665455,11.317619,68.0
2,272350,None_272350,files/272350_5144779-hq.ogg,45184,72064,1.765829871319944e-06,-1264.8954,0.022857666,0.022270203,0.021606445,0.020397186,0.019172668,0.017440796,0.015525818,0.013454437,0.011211395,0.008766174,0.006214142,0.0035514832,68.0
3,272350,None_272350,files/272350_5144779-hq.ogg,72064,84800,0.0007371537050410131,-1001.1423,127.9457,-96.93333,-22.727299,-23.666042,-40.116463,-16.97422,-66.541275,-38.110672,20.021412,-1.7304077,10.987873,22.879044,66.0
4,272350,None_272350,files/272350_5144779-hq.ogg,84800,110720,0.0004728194740083483,-1011.7827,123.070915,-95.557915,-36.982426,-37.706486,-33.536522,-1.6880646,-45.84481,-35.32512,-5.0507584,-1.1923447,26.868687,10.109558,68.0
5,428550,None_428550,files/428550_8664320-hq.ogg,4032,15168,6.474030418883496e-07,-1239.8033,27.851398,12.018272,-1.0486755,-8.403248,-10.532845,-7.542,-4.1919327,-6.0732803,-9.611244,-7.678833,-2.105236,0.6769371,67.0
6,232360,None_232360,files/232360_1446493-hq.ogg,12480,28480,0.004872886180877686,-753.11835,48.629097,-127.01448,-77.00348,-7.277378,25.496838,-45.11686,6.933264,6.708555,-20.321278,23.792114,-1.0629654,-12.57128,65.0
7,475678,None_475678,files/475678_8382124-hq.ogg,20800,68928,0.00023915464098149157,-933.95337,69.51521,-30.911106,-2.2941055,41.807926,37.977047,7.980671,18.161377,-18.672369,17.98423,2.824501,26.39138,-20.457602,67.0
8,475678,None_475678,files/475678_8382124-hq.ogg,68928,81152,0.00018165482900529633,-1088.2993,74.89856,101.3264,29.417793,44.05886,21.416521,9.352291,10.652912,1.3819733,8.152142,4.615223,18.113602,14.211296,66.0
9,475678,None_475678,files/475678_8382124-hq.ogg,81152,170816,0.0004664622486531096,-977.42596,89.12202,-8.921864,0.04291153,39.111324,42.86928,-6.677059,27.323715,-14.218752,14.798531,-13.201942,15.156715,-10.183914,67.0
10,475678,None_475678,files/475678_8382124-hq.ogg,170816,218240,0.00016932543392284358,-1071.1311,68.958496,85.25617,27.225712,26.475029,30.097923,15.877037,27.537737,-1.3182983,7.5435085,1.6080818,15.207571,8.255306,44.0
11,475678,None_475678,files/475678_8382124-hq.ogg,218240,250048,0.00017388605735671353,-1006.0348,72.78972,91.312546,22.520725,1.0091286,27.405891,11.064068,25.20002,-9.5734215,7.3017387,-6.4903984,13.858749,-0.15778351,41.0
12,475678,None_475678,files/475678_8382124-hq.ogg,250048,287040,0.00015477317942880016,-1031.7218,52.609768,78.37253,24.529938,-7.4214363,35.302597,16.62922,23.026669,-8.682167,8.897238,-4.102028,12.266022,18.638653,40.0
13,475678,None_475678,files/475678_8382124-hq.ogg,287040,389888,0.00023730726960140055,-1048.7594,82.649605,83.97974,43.749664,37.35268,26.56285,11.451836,12.444315,-1.241806,17.702078,-3.340538,10.641317,0.14068604,40.0
14,475678,None_475678,files/475678_8382124-hq.ogg,389888,461824,0.00015404731618552021,-1051.719,94.04897,88.76131,28.271832,-4.2448425,19.396488,17.557358,16.884861,-20.023478,6.0002823,-4.3252106,16.337711,9.304657,41.0
15,509524,None_509524,files/509524_11100992-hq.ogg,50688,78336,5.174493438702214e-06,-1203.1901,69.32292,34.58328,13.233337,8.290813,3.4124832,-5.548149,-9.204582,-6.602257,-6.4863358,-9.497139,-7.7332497,-1.3252525,41.0
16,509524,None_509524,files/509524_11100992-hq.ogg,78336,89472,1.1578777633693026e-05,-1149.6133,119.33413,39.86804,3.3563843,11.384701,14.204407,-2.0060577,-12.73661,-11.589378,-14.147598,-20.71054,-17.943768,-7.7121277,50.0
17,509524,None_509524,files/509524_11100992-hq.ogg,89472,100480,1.1578275345612404e-05,-1149.0066,122.16003,44.844112,6.440399,11.334972,13.891632,-0.9083557,-10.844734,-8.78257,-10.491943,-18.482887,-18.184948,-7.414276,44.0
18,509524,None_509524,files/509524_11100992-hq.ogg,100480,115904,8.550507337225918e-06,-1176.19,97.9863,46.603024,19.28128,18.264812,14.333893,-0.086380005,-8.4715805,-6.706505,-7.2527313,-12.513924,-12.320278,-5.608055,41.0
19,509524,None_509524,files/509524_11100992-hq.ogg,115904,130240,1.736258647205042e-05,-1149.7048,125.66039,54.761913,15.282684,14.492428,15.123871,1.8274689,-9.171318,-10.419228,-12.093544,-15.818932,-11.637768,-0.18369675,47.0
20,509524,None_509524,files/509524_11100992-hq.ogg,130240,139776,2.461631826106334e-05,-1135.514,137.2055,55.862988,19.395386,22.656578,16.672318,-2.8855438,-11.44738,-9.7532425,-11.802109,-14.153572,-8.873875,-0.9322548,51.0
