,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mean_pitch
0,,None_None,targets/short_V1bFr2SWP1I.wav,64,37568,0.0016397079103228989,-807.831,100.933655,35.192806,-25.775574,-47.131737,-20.055779,-14.153671,-10.209681,-36.973854,-27.135708,-14.397383,-11.016506,-17.58586,60.0
1,,None_None,targets/short_V1bFr2SWP1I.wav,37568,138496,0.001060606787759591,-897.4006,129.86066,26.543747,-5.8280067,-18.521946,-16.141445,-15.354204,-18.842289,-47.547855,-21.14598,-26.235348,-12.048485,-27.522812,60.0
2,,None_None,targets/short_V1bFr2SWP1I.wav,138496,182528,0.001980378010938334,-818.7501,122.47217,30.145153,-12.246662,-42.308556,-24.56055,-19.391521,-25.604687,-46.34353,-27.798828,-30.595299,-11.984493,2.5288582,58.0
3,,None_None,targets/short_V1bFr2SWP1I.wav,182528,225280,0.0024556410526801013,-834.99603,114.61049,1.7576141,5.9682426,-16.427525,-17.077621,-44.023575,-36.118717,-38.789238,-18.795918,-48.533813,-17.259117,4.7623367,61.0
4,,None_None,targets/short_V1bFr2SWP1I.wav,225280,326208,0.0009860761118751578,-944.4894,122.92097,43.741795,1.0921783,-26.873486,-25.334332,-30.613392,-27.224922,-45.875942,-21.359852,-22.538269,-28.093594,-12.108229,59.0
5,,None_None,targets/short_V1bFr2SWP1I.wav,326208,363904,0.002191650037652163,-854.9026,118.0784,53.8164,-0.7972641,-47.52674,-21.108788,-18.225632,-16.69357,-44.257248,-29.122452,-39.19922,-19.543571,-2.9951172,60.0
6,,None_None,targets/short_V1bFr2SWP1I.wav,363904,432704,0.001101110480552496,-834.1102,105.79294,34.25381,-9.199116,-29.016954,-11.196522,-11.554855,-22.56121,-39.61532,-18.65836,-12.044537,-6.8456154,-22.275673,56.0
